signal_event_time,timestamp,open,high,low,close,volume,close_time,quote_av,trades,taker_base_vol,taker_quote_vol,ignore
20230505_160000,2023-05-05 11:51,29110,29114.5,29107.3,29107.3,100.038,1.68E+12,2912137.502,1328,59.67,1736992.836,0
20230505_160000,2023-05-05 11:52,29107.4,29109,29101.6,29106.3,116.933,1.68E+12,3403415.626,1401,71.01,2066748.472,0
20230505_160000,2023-05-05 11:53,29106.4,29114.5,29106.3,29114.5,60.524,1.68E+12,1761793.989,752,50.202,1461336.432,0
20230505_160000,2023-05-05 11:54,29114.4,29167.9,29114.4,29163.4,1421.667,1.68E+12,41443759.66,9749,919.765,26811910.77,0
20230505_160000,2023-05-05 11:55,29163.4,29185.6,29145,29150,1510.084,1.68E+12,44052895.29,11210,757.961,22113822.96,0
20230505_160000,2023-05-05 11:56,29150,29161.6,29141.1,29147.9,296.558,1.68E+12,8645305.988,3428,140.044,4082663.893,0
20230505_160000,2023-05-05 11:57,29147.9,29147.9,29125.9,29137.6,257.175,1.68E+12,7493161.634,3217,105.765,3081742.273,0
20230505_160000,2023-05-05 11:58,29137.6,29138.2,29132.7,29136.4,118.19,1.68E+12,3443653.066,1373,66.328,1932565.773,0
20230505_160000,2023-05-05 11:59,29136.4,29140,29125.3,29137.5,260.988,1.68E+12,7603315.224,2444,103.966,3028933.043,0
20230505_160000,2023-05-05 12:00,29137.6,29149.9,29137.6,29144.4,380.138,1.68E+12,11079110.28,3102,221.426,6453265.326,0
20230505_160000,2023-05-05 12:01,29144.3,29166.3,29144.1,29166.3,303.411,1.68E+12,8845224.965,2411,246.746,7193464.135,0
20230505_160000,2023-05-05 12:02,29166.3,29173.1,29150.5,29173,456.091,1.68E+12,13301860.46,4461,274.351,8001555.123,0
20230505_160000,2023-05-05 12:03,29173.1,29196,29173,29189.4,1323.375,1.68E+12,38625578.3,10399,684.086,19966616.85,0
20230505_160000,2023-05-05 12:04,29189.4,29191.7,29160.3,29164.7,439.645,1.68E+12,12825880.13,4348,136.223,3973975.779,0
20230505_160000,2023-05-05 12:05,29164.7,29168.7,29154.5,29155.8,236.783,1.68E+12,6905015.297,3019,70.999,2070420.322,0
20230505_160000,2023-05-05 12:06,29155.7,29157.9,29112.6,29122,571.196,1.68E+12,16639643.04,6241,139.184,4054706.455,0
20230505_160000,2023-05-05 12:07,29122,29126.7,29110,29115.5,262.79,1.68E+12,7651480.876,4188,126.709,3689432.652,0
20230505_160000,2023-05-05 12:08,29115.5,29130.2,29110,29130.2,248.473,1.68E+12,7234033.118,2639,132.693,3863279.266,0
20230505_160000,2023-05-05 12:09,29130.2,29130.2,29117,29122,110.964,1.68E+12,3231486.34,2209,37.857,1102481.569,0
20230505_160000,2023-05-05 12:10,29122,29168.4,29112.1,29168.3,303.125,1.68E+12,8835481.291,4078,207.074,6036169.474,0
20230505_160000,2023-05-05 12:11,29168.4,29191.6,29168.3,29170.5,462.404,1.68E+12,13493087.05,5651,251.454,7337935.135,0
20230505_160000,2023-05-05 12:12,29170.4,29185,29164.2,29177.4,311.669,1.68E+12,9093038.898,4087,171.745,5010855.683,0
20230505_160000,2023-05-05 12:13,29177.5,29180,29160,29168.4,262.291,1.68E+12,7651661.191,3496,103.494,3019098.445,0
20230505_160000,2023-05-05 12:14,29168.5,29170.8,29161.3,29163.6,131.926,1.68E+12,3847843.645,2104,57.653,1681533.707,0
20230505_160000,2023-05-05 12:15,29163.7,29192.1,29156.2,29189.7,425.252,1.68E+12,12407011.32,5071,258.743,7549026.208,0
20230505_160000,2023-05-05 12:16,29189.6,29189.6,29163.6,29170,287.524,1.68E+12,8388178.195,3627,70.615,2060062.488,0
20230505_160000,2023-05-05 12:17,29169.9,29170,29152,29159.9,212.409,1.68E+12,6193466.485,3478,83.795,2443244.916,0
