timestamp,open,high,low,close,volume,taker_buy,delta
2023-05-01 00:00:00+00:00,29223,29313.2,29198.2,29280.8,8574.387,4914.428,1254.469
2023-05-01 00:15:00+00:00,29280.7,29305,29252.1,29289.9,3585.558,1653.472,-278.614
2023-05-01 00:30:00+00:00,29290,29297.5,29268.2,29292,2365.554,1346.612,327.67
2023-05-01 00:45:00+00:00,29292,29325.5,29271.3,29303.3,2200.431,1069.176,-62.079
2023-05-01 01:00:00+00:00,29303.3,29303.3,29226,29245.8,2160.645,721.03,-718.585
2023-05-01 01:15:00+00:00,29245.9,29266.5,29170,29239.2,3762.266,1738.228,-285.81
2023-05-01 01:30:00+00:00,29239.2,29250,28624,28664.9,37111.084,14979.813,-7151.458
2023-05-01 01:45:00+00:00,28664.9,28687.5,28333,28488.3,31979.774,14397.667,-3184.44
2023-05-01 02:00:00+00:00,28488.2,28666,28392.5,28617.8,16585.638,8908.391,1231.144
2023-05-01 02:15:00+00:00,28617.8,28654,28535.5,28567.8,8982.05,3861.197,-1259.656
2023-05-01 02:30:00+00:00,28567.8,28624,28555.6,28566,4604.124,2014.657,-574.81
2023-05-01 02:45:00+00:00,28566.1,28600,28510,28535,3971.572,1501.822,-967.928
2023-05-01 03:00:00+00:00,28535,28543.9,28454,28467.1,6069.746,2359.548,-1350.65
2023-05-01 03:15:00+00:00,28467,28584.3,28420,28573.1,6523.774,4013.287,1502.8
2023-05-01 03:30:00+00:00,28573,28576.7,28527.5,28572.3,2551.218,1398.071,244.924
2023-05-01 03:45:00+00:00,28572.3,28575.8,28525,28545.6,2398.809,1102.383,-194.043
2023-05-01 04:00:00+00:00,28545.6,28577.3,28520.3,28548.6,2549.958,1547.545,545.132
2023-05-01 04:15:00+00:00,28548.5,28555,28491,28530.1,2956.167,1272.993,-410.181
2023-05-01 04:30:00+00:00,28530.1,28537.4,28470.1,28489.1,3502.17,1555.029,-392.112
2023-05-01 04:45:00+00:00,28489.2,28544.8,28478.7,28543.7,1650.434,900.369,150.304
2023-05-01 05:00:00+00:00,28543.7,28618.4,28518.4,28615.4,4968.661,3041.91,1115.159
2023-05-01 05:15:00+00:00,28615.3,28620,28530,28532.8,3729.277,1256.698,-1215.881
2023-05-01 05:30:00+00:00,28532.8,28535,28200,28407.6,17498.033,6626.683,-4244.667
2023-05-01 05:45:00+00:00,28407.6,28469.8,28366,28468,8300.344,4734.302,1168.26
2023-05-01 06:00:00+00:00,28467.9,28514.7,28435.6,28490,4303.591,2486.043,668.495
2023-05-01 06:15:00+00:00,28490,28542.4,28462.9,28541.9,3283.829,1955.459,627.089
2023-05-01 06:30:00+00:00,28542,28553.5,28522.5,28537.2,2237.704,1103.876,-29.952
2023-05-01 06:45:00+00:00,28537.3,28587.3,28533.8,28578,2919.611,1660.952,402.293
2023-05-01 07:00:00+00:00,28578,28700,28559.8,28602,10544.219,5868.094,1191.969
2023-05-01 07:15:00+00:00,28602,28669.3,28582,28644.1,3818.722,2116.705,414.688
2023-05-01 07:30:00+00:00,28644,28650.8,28589.9,28620.2,2771.764,1059.791,-652.182
2023-05-01 07:45:00+00:00,28620.3,28646.6,28579.2,28610,2956.754,1215.609,-525.536
2023-05-01 08:00:00+00:00,28609.9,28616.8,28560,28582.9,2945.863,1174.727,-596.409
2023-05-01 08:15:00+00:00,28583,28589.7,28529.9,28582.4,2864.996,1263.063,-338.87
2023-05-01 08:30:00+00:00,28582.3,28600,28558.9,28588.7,1629.62,1014.379,399.138
2023-05-01 08:45:00+00:00,28588.6,28597.4,28537.4,28561.4,2397.501,1045.202,-307.097
2023-05-01 09:00:00+00:00,28561.4,28571.2,28540.6,28567.8,1422.565,782.167,141.769
2023-05-01 09:15:00+00:00,28567.9,28659.2,28567.8,28587.9,4117.558,2351.655,585.752
2023-05-01 09:30:00+00:00,28588,28602,28521.9,28541.1,2958.227,1310.627,-336.973
2023-05-01 09:45:00+00:00,28541.1,28543.2,28473.5,28511.7,5195.086,2233.012,-729.062
2023-05-01 10:00:00+00:00,28511.7,28541,28502.5,28539.8,1833.557,1167.144,500.731
2023-05-01 10:15:00+00:00,28539.8,28550.9,28497.1,28524.8,2045.901,877.782,-290.337
2023-05-01 10:30:00+00:00,28524.9,28527.9,28464.6,28510.8,2136.826,931.586,-273.654
2023-05-01 10:45:00+00:00,28510.8,28549.7,28491.7,28537.9,1849.956,1102.054,354.152
2023-05-01 11:00:00+00:00,28537.8,28571.5,28512.6,28514.6,2438.712,1221.823,4.934
2023-05-01 11:15:00+00:00,28514.5,28536.8,28485.5,28533.6,2301.901,985.263,-331.375
2023-05-01 11:30:00+00:00,28533.6,28549,28500.3,28544.9,1311.886,738.548,165.21
2023-05-01 11:45:00+00:00,28545,28559.4,28493.1,28510.6,2011.829,940.652,-130.525
2023-05-01 12:00:00+00:00,28510.6,28532.1,28426.3,28512.9,5539.627,2338.28,-863.067
2023-05-01 12:15:00+00:00,28512.9,28567,28490.7,28562.2,3062.665,1832.403,602.141
2023-05-01 12:30:00+00:00,28562.2,28594,28535.1,28572.8,3285.007,1833.482,381.957
2023-05-01 12:45:00+00:00,28572.8,28596.5,28555.7,28581.4,2570.918,1228.955,-113.008
2023-05-01 13:00:00+00:00,28581.4,28581.4,28552.3,28560.1,1283.822,566.338,-151.146
2023-05-01 13:15:00+00:00,28560.1,28597.1,28533,28582.9,2567.819,1368.921,170.023
2023-05-01 13:30:00+00:00,28582.8,28618,28481.3,28514.9,5621.047,2706.787,-207.473
2023-05-01 13:45:00+00:00,28514.8,28526,28425,28445.4,6096.362,2774.514,-547.334
2023-05-01 14:00:00+00:00,28445.4,28528.5,28300,28480.2,16622.841,8372.422,122.003
2023-05-01 14:15:00+00:00,28480.2,28565,28401.2,28468.4,8192.945,4155.059,117.173
2023-05-01 14:30:00+00:00,28468.4,28516.8,28404.8,28434,4901.912,2470.037,38.162
