et,xt,side,entry,exit,R,reason,year,atr_pct,oi_z
2023-05-06 08:00:00,2023-05-06 16:00:00,-1,28593.817980000003,28879.756159800003,-0.010699999999999982,fibstop,2023,0.022469378217586038,-0.3332226222236989
2023-05-09 00:00:00,2023-05-10 16:00:00,1,27573.154,27297.422459999998,-0.011046580000000025,fibstop,2023,0.02098929458066133,0.775958553445063
2023-05-11 00:00:00,2023-05-11 08:00:00,1,27389.56624,27115.670577599998,-0.010885220000000076,fibstop,2023,0.02300895119960382,-1.9913302589867343
2023-05-12 08:00:00,2023-05-12 16:00:00,1,26243.111139999997,25980.680028599996,-0.010839640000000044,fibstop,2023,0.024147806286810458,1.2254878449887368
2023-05-13 00:00:00,2023-05-18 00:00:00,1,26684.4476,27313.25,0.02208119762646436,fibstop,2023,0.024154343618694576,-2.3372109502010328
2023-05-19 00:00:00,2023-05-22 00:00:00,1,26807.657820000004,26539.581241800002,-0.01112317000000006,fibstop,2023,0.01816199795530428,-1.380281644214774
2023-05-22 08:00:00,2023-05-24 00:00:00,1,26840.0328,26571.632472,-0.011247699999999989,fibstop,2023,0.013655914246889354,1.3433278878686972
2023-05-25 08:00:00,2023-06-01 16:00:00,1,26216.900000000005,26884.2,0.0228192274617516,fibstop,2023,0.016168237272325314,1.560572659522642
2023-06-02 08:00:00,2023-06-05 00:00:00,1,27023.54664,26753.3111736,-0.01147048000000005,fibstop,2023,0.017837883194208495,-0.5580166008172137
2023-06-06 00:00:00,2023-06-06 08:00:00,1,25644.66294,25388.216310599997,-0.010800000000000051,fibstop,2023,0.016909660711605802,0.9201832532410648
2023-06-06 16:00:00,2023-06-07 00:00:00,1,27158.631039999997,26887.044729599995,-0.010942880000000068,fibstop,2023,0.02043796509063156,-0.958301544581292
2023-06-07 08:00:00,2023-06-08 08:00:00,-1,26394.84032,26658.7887232,-0.010574010000000002,fibstop,2023,0.022239553352858786,-1.2040776420412442
2023-06-10 08:00:00,2023-06-10 16:00:00,1,25562.68764,25307.0607636,-0.01083854000000006,fibstop,2023,0.01889704915491887,1.9291090892844207
2023-06-11 00:00:00,2023-06-14 16:00:00,1,25666.42464,25409.7603936,-0.01140418999999999,fibstop,2023,0.019083696496918042,-1.056583448005763
2023-06-15 00:00:00,2023-06-16 00:00:00,1,24926.569219999994,25586.0,0.025486425461832732,fibstop,2023,0.018847718352901797,0.2259365608734886
2023-06-17 08:00:00,2023-06-19 08:00:00,-1,26462.3162,26415.2,0.0013767417385439754,fibstop,2023,0.019834139786629512,0.3645296640635497
2023-06-20 08:00:00,2023-06-20 16:00:00,-1,27082.02416,27352.8444016,-0.010825969999999947,fibstop,2023,0.01661453470168359,0.876644869366249
2023-06-22 00:00:00,2023-06-23 08:00:00,-1,30229.47834,30531.773123400002,-0.010407640000000022,fibstop,2023,0.022527382542704668,-1.1565491268738886
2023-06-23 16:00:00,2023-06-28 00:00:00,-1,30828.311540000006,30683.2,0.005207086854618086,fibstop,2023,0.024655763263067277,1.3618825545476485
2023-06-29 00:00:00,2023-06-30 08:00:00,1,30298.79934,29995.8113466,-0.011193000000000059,fibstop,2023,0.01791211516470237,-0.9193913769073716
2023-06-30 16:00:00,2023-07-03 00:00:00,1,30407.28,30612.7,0.0051556190491225135,fibstop,2023,0.022762699480856623,-2.508420051667365
2023-07-04 00:00:00,2023-07-06 08:00:00,-1,30938.911819999998,31248.3009382,-0.010022800000000028,fibstop,2023,0.016121957466290592,1.166492187145278
2023-07-07 08:00:00,2023-07-10 00:00:00,1,30319.8928,30016.693872,-0.011039150000000053,fibstop,2023,0.018911966694760644,-1.0111679202002088
2023-07-10 08:00:00,2023-07-13 08:00:00,1,30282.470759999997,30355.1,0.0011346021449348087,fibstop,2023,0.013174968874542684,-0.1869003003775773
2023-07-14 00:00:00,2023-07-17 00:00:00,-1,31144.9216,30216.9,0.029354993482923905,fibstop,2023,0.016940643890573797,-0.5709846877436899
2023-07-19 00:00:00,2023-07-20 08:00:00,1,29953.376959999998,29653.8431904,-0.01105206999999996,fibstop,2023,0.013849410385029863,-0.1874561208213779
2023-07-20 16:00:00,2023-07-23 16:00:00,-1,29820.988,30119.19788,-0.010470329999999951,fibstop,2023,0.014632538120045535,3.211911413379462
