et,ret
2023-05-05 16:00:00,0.036742067537528525
2023-05-10 16:00:00,0.021493175182057952
2023-05-11 00:00:00,-0.02453756586794831
2023-05-12 08:00:00,-0.01539955926861761
2023-05-13 00:00:00,0.0003968777656597618
2023-05-19 00:00:00,-0.004818180190530269
2023-05-25 00:00:00,0.04764739852321383
2023-05-31 00:00:00,-0.023314135963440116
2023-05-31 16:00:00,-0.014648959107806702
2023-06-02 16:00:00,0.03612776934637553
2023-06-07 08:00:00,0.02425525109382225
2023-06-11 00:00:00,-0.006913776707663857
2023-06-15 00:00:00,0.1895750214007859
2023-06-22 00:00:00,-0.01357760429634389
2023-06-23 16:00:00,0.010286860801969697
2023-06-28 00:00:00,-0.0012847324937020493
2023-06-29 16:00:00,-0.02247702719556781
2023-06-30 08:00:00,0.011365465941897081
2023-07-01 00:00:00,-0.0009389761950646266
2023-07-05 16:00:00,0.008290759298865405
2023-07-06 16:00:00,-0.010062823993182035
2023-07-11 00:00:00,-0.023653646259980465
2023-07-13 16:00:00,-0.02146997920330644
2023-07-14 00:00:00,0.03608107475446538
2023-07-20 16:00:00,-0.019595216309926188
2023-07-25 00:00:00,-0.013946949300159817
2023-08-02 08:00:00,0.00012765689782282474
2023-08-08 16:00:00,-0.013809023741792605
2023-08-09 00:00:00,0.1484148567319357
2023-08-18 00:00:00,-0.02271071613495992
2023-08-18 16:00:00,-0.015692209024618445
2023-08-23 00:00:00,-0.002438733705772823
2023-08-25 16:00:00,0.05343635949732418
2023-08-30 08:00:00,0.0486306725829562
2023-09-03 16:00:00,-0.00960107664106557
2023-09-08 08:00:00,0.022419021490626453
2023-09-12 16:00:00,-0.013406758474818963
2023-09-14 16:00:00,-0.0125240629685157
2023-09-18 16:00:00,-0.006329810556590929
2023-09-19 16:00:00,0.02361698007901269
2023-09-28 16:00:00,-0.01603194988949481
2023-10-02 08:00:00,0.012009902753434668
2023-10-06 00:00:00,0.006434025468733488
2023-10-10 00:00:00,-0.020751393441811948
2023-10-11 16:00:00,0.1123599001837932
2023-10-17 00:00:00,-0.015059445681667961
2023-10-18 16:00:00,0.03368247109456602
2023-10-21 08:00:00,-0.027979374768151682
2023-10-23 08:00:00,-0.024891713648879033
2023-10-24 08:00:00,-0.004211869494017265
2023-10-25 00:00:00,-0.01271937256765343
2023-10-25 16:00:00,0.007175846323324269
2023-10-29 08:00:00,0.002293049659538648
2023-11-01 16:00:00,-0.023010754078790427
2023-11-02 00:00:00,0.007406278659611926
2023-11-05 00:00:00,-0.009206975301513058
2023-11-06 16:00:00,-0.013947615723261678
2023-11-09 00:00:00,-0.02430571608605625
2023-11-09 08:00:00,-0.02735813116085886
2023-11-09 16:00:00,0.019464466556009606
2023-11-10 08:00:00,-0.0015326930645986315
2023-11-14 00:00:00,-0.022139707397046602
2023-11-14 16:00:00,-0.023285401782752093
2023-11-15 00:00:00,0.035784165516000166
2023-11-17 00:00:00,0.009954198820698514
2023-11-21 16:00:00,-0.01623523061029114
2023-11-22 00:00:00,0.04015035157124224
2023-11-27 00:00:00,0.1529040539132803
2023-12-07 16:00:00,-0.005500900100414264
2023-12-11 08:00:00,-0.022455735720338738
2023-12-12 00:00:00,-0.009157534059374205
2023-12-13 00:00:00,-0.005745428157450201
2023-12-13 16:00:00,-0.020831052145675977
2023-12-14 00:00:00,0.008242033775745235
2023-12-15 08:00:00,-0.01551674527179633
2023-12-16 00:00:00,-0.009299365432450189
2023-12-18 00:00:00,0.016520030347320025
2023-12-19 16:00:00,-0.01337694966003176
2023-12-20 16:00:00,0.004315956400706476
2023-12-26 16:00:00,0.0018259278553429963
2023-12-28 16:00:00,-0.015137862679147652
2023-12-30 16:00:00,-0.020665762730076878
2024-01-02 00:00:00,-0.027172336734217293
2024-01-02 08:00:00,0.08607895093151867
2024-01-03 16:00:00,-0.01354828347878554
2024-01-04 00:00:00,0.009670257406549263
2024-01-05 08:00:00,-0.007639225223557128
2024-01-06 00:00:00,0.02144598312705814
2024-01-09 16:00:00,-0.017397739849021078
2024-01-10 00:00:00,-0.019389150981276783
2024-01-10 16:00:00,-0.0036981450035500018
2024-01-11 16:00:00,-0.0022147951101209123
2024-01-13 00:00:00,-0.008634580269771349
2024-01-15 08:00:00,-0.00882991267480882
2024-01-16 16:00:00,0.029974086124578397
