m,거래수,승률,R합,atr60中,OI충격中,펀딩中,손실月
2023-05,23,47.82608695652174,-4.88869652946242,0.0003833027370320968,1.2637371403992594,1.230748827240782,★손실
2023-06,26,46.15384615384615,1.5619031628474502,0.0005692285689529143,0.8936686351814085,0.7724281462037148,
2023-07,22,68.18181818181817,6.19820428326195,0.00043351298528315817,0.6980301753454075,0.4329808225309648,
2023-08,24,37.5,0.03879913234515961,0.00030288919671756805,0.4538216891380933,0.7773252747111834,
2023-09,25,48.0,-0.3960111853884601,0.00040316155818074275,0.6552277969485438,0.6908112712432828,★손실
2023-10,29,41.37931034482759,-0.8606363937057305,0.0004485345095587746,0.5190686325952274,0.6907309876367828,★손실
2023-11,25,56.00000000000001,11.023869079805749,0.0004864166483169044,0.37509672267127125,0.5257924228926915,
2023-12,28,42.857142857142854,-4.885169079474299,0.0005620866645686849,0.6520891530147661,0.5038226340531072,★손실
2024-01,20,50.0,1.9440283507366498,0.0006456563037494142,0.7232032368865194,0.8625232155019847,
2024-02,23,52.17391304347826,11.75922289653564,0.0004459873826236052,0.9851366483122279,0.5679481038704849,
2024-03,29,55.172413793103445,9.203663181885327,0.0009176246281944419,0.7703939110239784,0.7047426558727521,
2024-04,23,65.21739130434783,17.072096653141607,0.0007352767856402901,0.41322968210744243,0.7548474588777043,
2024-05,27,51.85185185185185,9.595746065813298,0.0005835047186695847,0.5079051133396312,0.9136390153682106,
2024-06,26,50.0,1.7076243266648397,0.0005158463248515526,0.5259648988347339,0.4335106643655458,
2024-07,31,45.16129032258064,0.2283462719645503,0.0007059663377048815,0.5518203915548159,0.6339709847987622,
2024-08,27,51.85185185185185,15.758471770153438,0.0007236874043534343,0.8353286716115343,0.8690114713126604,
2024-09,28,46.42857142857143,4.06869787289246,0.00046731835586230077,0.5354260182149223,0.6791518434244203,
2024-10,30,56.666666666666664,3.2611750774496397,0.000564916119168391,0.5682115222005206,0.9193995809932076,
2024-11,28,39.285714285714285,-9.11885731948439,0.0006985762198554944,0.7953056690065231,0.3311206220766538,★손실
2024-12,22,63.63636363636363,6.120474954525479,0.0006242254702259217,0.4422779645951014,0.46016549351311753,
2025-01,24,54.166666666666664,8.492279241640478,0.0006817692282889101,0.79844332088686,0.5013124668992368,
2025-02,22,59.09090909090909,16.674801512190594,0.0006344154834863713,0.6062190855981184,0.9703390930975306,
2025-03,25,56.00000000000001,14.801807693514052,0.000783697781691772,0.5190229122092294,0.49559746406078103,
2025-04,28,46.42857142857143,4.178337602840977,0.0005645838803823199,0.6206093562630013,0.7211802754347767,
2025-05,26,34.61538461538461,-3.9736909925348103,0.0005012682141576796,0.580356807900569,0.8821668300529408,★손실
2025-06,29,51.724137931034484,0.6972381874881197,0.0005220175835024847,0.5563316217030025,0.5525900068037596,
2025-07,28,53.57142857142857,3.7352022470916095,0.00041398890773421885,0.6337612330682156,0.71590842265706,
2025-08,26,61.53846153846154,4.491022518031331,0.0003721448013152337,0.5092693394770713,0.9019254979560221,
2025-09,29,41.37931034482759,-0.6040522884256603,0.00038420375294222415,0.4492433013291085,0.45195859279033385,★손실
2025-10,28,42.857142857142854,-1.1644982725858815,0.000476119187279167,0.4239585576208099,0.7572095667447106,★손실
2025-11,22,63.63636363636363,15.747501331588943,0.0006109858968609396,0.40840923993777456,0.6967446482909103,
2025-12,28,39.285714285714285,-4.321498387002031,0.0006438785785044183,0.853109499455225,0.6928620555621623,★손실
2026-01,21,33.33333333333333,-5.633162012357829,0.0005264729364774952,0.9330282293308122,0.9059980266296984,★손실
2026-02,19,63.1578947368421,14.747055908551404,0.0009023483048075752,0.8461149353621795,0.7954878083835281,
2026-03,29,55.172413793103445,2.7205160110459508,0.0007566352853996434,0.5440882496557989,0.7290793675577135,
2026-04,32,40.625,-1.7187579895082683,0.00043194695031684963,0.618113210456245,1.1476296904305079,★손실
