month,pg,pm,pn
2023-05,207.9983307784114,207.9983307784114,201.9035197243793
2023-05,-49.31589279972468,-49.31589279972468,-55.85742335393297
2023-05,10.789952444834853,10.789952444834853,5.52231092112379
2023-05,-140.6494530170803,-140.6494530170803,-145.30574702242666
2023-05,32.28882695866196,32.28882695866196,27.382468603991583
2023-05,-180.03706640046585,-180.03706640046585,-183.69964802054528
2023-05,-5.820786444503028,-5.820786444503028,-10.13361037704999
2023-05,-15.89027232493936,-15.89027232493936,-20.450692793723647
2023-05,-6.963188459179946,-6.963188459179946,-11.398747833016387
2023-05,-27.169601130017327,-27.169601130017327,-31.909436048432326
2023-05,35.271670734528016,35.271670734528016,31.3033400633376
2023-05,-1.9693102729979728,-1.9693102729979728,-5.906727394729387
2023-05,-8.830837032364798,-8.830837032364798,-13.51448829340552
2023-05,59.08133612500569,59.08133612500569,54.93122837478222
2023-05,51.79553094658877,51.79553094658877,48.28110453613044
2023-05,16.660925743000917,16.660925743000917,12.56302601340576
2023-05,18.392546072647747,18.392546072647747,13.867748724287594
2023-05,-67.55087143074161,-67.55087143074161,-71.01577824512242
2023-05,24.649345418685698,24.649345418685698,19.19989063425237
2023-05,-16.245320064968837,-16.245320064968837,-21.05540308813943
2023-05,-113.69750800004294,-113.69750800004294,-117.56914664668693
2023-06,27.29474432014831,27.29474432014831,21.60440738023135
2023-06,42.34646284892551,42.34646284892551,36.41657845230657
2023-06,109.91499819464116,109.91499819464116,105.09953616517123
2023-06,2.593169973943077,2.593169973943077,-1.6889842926211713
2023-06,-16.882068960951074,-16.882068960951074,-20.769775844717515
2023-06,-10.844863156384235,-10.844863156384235,-15.237621097106967
2023-06,-35.75220540414739,-35.75220540414739,-39.574789395752305
2023-06,3.201912895128771,3.201912895128771,-1.1726257105219702
2023-06,37.26610179745876,37.26610179745876,32.259792264838325
2023-06,8.545857560737204,8.545857560737204,3.734361846021784
2023-06,-64.30926457052738,-64.30926457052738,-67.3657107508916
2023-06,7.440214488751735,7.440214488751735,2.102627469590516
2023-06,212.3377649379545,212.3377649379545,203.8873454925906
2023-06,-71.73130825466978,-71.73130825466978,-77.03578481188379
2023-06,40.906819220432226,40.906819220432226,33.855015227452895
2023-06,8.741106087911248,8.741106087911248,2.1882075061839714
2023-06,34.83751396543812,34.83751396543812,27.817767253483908
2023-06,26.56862375280798,26.56862375280798,20.737991370013333
2023-07,23.25797170610531,23.25797170610531,17.18878256608332
2023-07,-45.46539617975577,-45.46539617975577,-49.478883128898815
2023-07,9.292118202714846,9.292118202714846,4.882350374924499
2023-07,-7.236936232848166,-7.236936232848166,-12.408872767611683
2023-07,-11.463388350368405,-11.463388350368405,-16.85506162094316
2023-07,-1.1220859928234859,-1.1220859928234859,-5.898601159407917
2023-07,-0.5821664849627268,-0.5821664849627268,-4.9222450884826685
2023-07,-1.5400086785011808,-1.5400086785011808,-6.125580122685278
2023-07,-0.5803521455236478,-0.5803521455236478,-4.610888190369224
2023-07,61.952182181426906,61.952182181426906,56.53188193416645
2023-07,2.4812668788363226,2.4812668788363226,-1.6354302200797974
2023-07,-0.48914808044355595,-0.48914808044355595,-4.986554134924518
2023-07,3.054303332368363,3.054303332368363,-1.031649866796215
2023-07,-56.32894121759091,-56.32894121759091,-58.97153135828739
2023-08,118.25955230557156,118.25955230557156,112.10358075534896
2023-08,-20.1008713705196,-20.1008713705196,-23.62325230780698
2023-08,-10.350517234719518,-10.350517234719518,-14.294442036718465
2023-08,0.6240310668708844,0.6240310668708844,-3.4792105881151656
2023-08,-12.487712790236401,-12.487712790236401,-18.58135012182902
2023-08,-11.654855601505915,-11.654855601505915,-16.949637845327743
2023-08,-5.777484282873047,-5.777484282873047,-11.219526636356022
2023-08,-3.560906883867574,-3.560906883867574,-9.05622633787425
2023-08,11.467822947310196,11.467822947310196,5.545750890425552
