ret,risk,atr_e,oi_e,tag,mfe
0.053417397409521956,0.03362960351955118,0.02241973567970079,4.764466875718134,trailing,
0.031227383509984902,0.036426697019417836,0.02428446467961189,1.7606076867772809,trailing,
-0.0012362722120782747,0.021428571428571446,0.014285714285714297,3.9215148005216713,trailing,
0.05510098725212992,0.021176953574917643,0.014117969049945096,1.6176372894315374,trailing,
-0.023314135963440088,0.022514135963440148,0.015009423975626766,2.594221834067758,initial_SL,
-0.012938972502629443,0.026203797132235803,0.017469198088157202,1.046628268227436,trailing,
0.04132428188650398,0.0242551202151974,0.016170080143464934,1.5901797885299158,trailing,
0.010432911044787255,0.03127655519775594,0.02085103679850396,0.5278235559313018,trailing,
-0.02860977117538526,0.027809771175385193,0.018539847450256795,4.3346628885724,initial_SL,
-0.014560340304184977,0.025937383288193536,0.01729158885879569,4.286064388283955,trailing,
-0.025927968260809515,0.029280795606296567,0.01952053040419771,1.8804510478497416,trailing,
-0.009246858175760403,0.029529958994727323,0.019686639329818217,1.3362018458721614,trailing,
-0.0021139372192131435,0.03446334362371141,0.022975562415807605,2.2206834915166787,trailing,
0.006048503570631682,0.024208689971216498,0.016139126647477665,3.568421917035359,trailing,
0.007185571949121856,0.025422183066274147,0.016948122044182765,4.924646356972073,trailing,
-0.0019203094216313724,0.024454940815252846,0.01630329387683523,4.902690556867076,trailing,
-0.00669501593847063,0.017442047698546764,0.011628031799031177,2.4425364235438614,trailing,
-0.021469979203306518,0.020669979203306398,0.013779986135537598,4.521010899990608,initial_SL,
-0.0003061215681709039,0.01711461591209381,0.011409743941395874,2.8734643333724,trailing,
-0.012735951597526163,0.011935951597526221,0.007957301065017481,3.027810910923738,initial_SL,
-0.013809023741792612,0.013009023741792684,0.008672682494528456,3.787725442354,initial_SL,
0.1540204035397211,0.014942948640094683,0.009961965760063122,1.3851437093286774,trailing,
-0.021612077962164893,0.029489813826099553,0.01965987588406637,9.971663185733734,trailing,
0.004006315172917257,0.01933421643725164,0.012889477624834427,0.863275684557025,trailing,
-0.01637965141621741,0.015579651416217439,0.010386434277478292,3.1241090158025475,initial_SL,
-0.01984754576527921,0.019047545765279214,0.012698363843519475,4.446403759257129,initial_SL,
-0.02238951951456263,0.022229952133874364,0.014819968089249576,1.3580561674296414,trailing,
-0.006906450150990102,0.033851389589340614,0.02256759305956041,1.4223156139213746,trailing,
-0.01698688871999423,0.016186888719994238,0.010791259146662825,1.6781278250417624,initial_SL,
-0.015187106112063533,0.016214607159578932,0.010809738106385955,2.0292511394840287,trailing,
-0.005970269683716895,0.02219471371783246,0.014796475811888308,2.913687894291637,trailing,
-0.01904170767793436,0.018241707677934323,0.012161138451956214,6.1823549135683935,initial_SL,
-0.020584022802720047,0.019784022802720076,0.013189348535146719,0.6630230841182122,initial_SL,
0.06233179112078852,0.014402539228444543,0.00960169281896303,6.13346643184129,trailing,
0.0019818122160390585,0.024179967353927655,0.01611997823595177,3.186714073517258,trailing,
0.02940295428494316,0.0263207154957195,0.017547143663813002,3.285227870837136,trailing,
-0.01801404410812591,0.017214044108125843,0.011476029405417228,7.316314235371293,initial_SL,
-0.025457128887407848,0.0366180000149539,0.024412000009969265,1.7840303809008382,trailing,
-0.011458092221556958,0.025752679555099293,0.017168453036732863,1.8411989857567375,trailing,
-0.0046171880210449994,0.027604000824139805,0.018402667216093203,3.5351358314996526,trailing,
0.009000173562250205,0.04888162043556011,0.03258774695704007,1.699905647471181,trailing,
-0.008813095882927977,0.025782608495209806,0.017188405663473204,2.750910484668578,trailing,
-0.02301075407879045,0.02221075407879025,0.014807169385860167,9.805051834516439,initial_SL,
0.015861765341139863,0.025796271466434026,0.01719751431095602,1.7864138088259365,trailing,
-0.00492275008147697,0.029875298757048856,0.01991686583803257,2.772150273707924,trailing,
-0.0243057160860564,0.02350571608605634,0.015670477390704225,3.8107085555333744,initial_SL,
-0.02472260161639982,0.026558131160858874,0.017705420773905915,2.97971669042826,trailing,
-0.021903421784800734,0.026090784226051836,0.017393856150701225,1.178083693337857,trailing,
-0.027381113081354144,0.027896186200912942,0.018597457467275296,2.010160746129637,trailing,
-0.016484816954249016,0.02650368833731611,0.01766912555821074,7.177564675419054,trailing,
-0.026677347926089355,0.032832376901159754,0.021888251267439835,1.517852708819653,trailing,
0.1527342183312362,0.026215838669667035,0.017477225779778022,1.281134397310329,trailing,
0.0048460970194569,0.03351274244555242,0.022341828297034946,2.6606002922781444,trailing,
-0.019336302616097607,0.030220073673255757,0.020146715782170505,1.3287926110968846,trailing,
0.0009874818058490725,0.03503899500076558,0.023359330000510384,2.0461165596898816,trailing,
0.03147482498957813,0.03434150331540867,0.02289433554360578,2.6520780327521205,trailing,
0.009397147565355365,0.03309353799471372,0.022062358663142483,0.8129431364928386,trailing,
0.009530182423828994,0.022876445846652882,0.015250963897768588,2.178810265697036,trailing,
-0.008825337736692916,0.027081841942183833,0.01805456129478922,1.5945918098125444,trailing,
-0.025982429892602913,0.02518242989260292,0.016788286595068615,3.1863149863169764,initial_SL,
-0.027172336734217203,0.02637233673421724,0.017581557822811494,5.306048846064615,initial_SL,
0.09439155365347406,0.02756142282552909,0.01837428188368606,3.472707400645233,trailing,
0.023249471236192927,0.037655430367036925,0.025103620244691285,10.949299448873202,trailing,
-0.027091003649552022,0.035915722216464344,0.023943814810976228,2.851019932815845,trailing,
0.03517531733473523,0.03764307520578738,0.02509538347052492,2.148934755021395,trailing,
-0.01936825610413537,0.04053519035010519,0.02702346023340346,0.6986800167151477,trailing,
-0.0015069406400053573,0.04125321782309568,0.02750214521539712,1.8687038663651905,trailing,
-0.014865250330873513,0.03026567627449865,0.020177117516332433,3.142056759989548,trailing,
0.08056361713349704,0.030599014982505328,0.02039934332167022,0.9205696327997436,trailing,
