ret,risk,side,year
-0.021362695529326764,0.02831752903221444,1,2023
-0.01971004049716573,0.029113481071692687,1,2023
0.03569889256800599,0.03421812590808773,-1,2023
-0.021239473277897773,0.02511748710393916,-1,2023
0.002525452999662896,0.025271350444432468,-1,2023
0.00635325176432032,0.023892128304744353,-1,2023
0.021159435973772095,0.019594073615900286,-1,2023
-0.021819824219648443,0.02101982421964846,-1,2023
-0.007932415529394145,0.023787524759811465,1,2023
-0.017992241123524592,0.023676618730584995,1,2023
0.02646460542808705,0.02961551002636776,-1,2023
0.017748390939439605,0.023893626602023627,-1,2023
-0.01751240848127979,0.028085104390031618,-1,2023
-0.024402900308890866,0.023602900308890985,-1,2023
-0.018099853852115846,0.026955677835808926,1,2023
-0.009283199743177466,0.027470739615567424,1,2023
0.005414084017475499,0.025117458033327364,1,2023
0.0004383086618480015,0.03285045710626515,1,2023
-0.0047541688700644255,0.019340889653614926,1,2023
0.005705276832595604,0.02033669306394068,1,2023
0.0033725080641167243,0.026278055292174363,1,2023
0.02012975560138908,0.02076169027175241,1,2023
-0.02371884622026014,0.02729884398142006,1,2023
-0.020531702533918412,0.019731702533918448,1,2023
-0.01762234775698276,0.020392405854560973,1,2023
-0.013561631244697706,0.020472375306940804,1,2023
-0.005381545020583022,0.015948836001447975,-1,2023
0.002322543666098861,0.016478052563846116,-1,2023
-0.002114969865453873,0.011706438099113581,-1,2023
-0.008831350846553386,0.018722331845129482,-1,2023
0.1511247618917469,0.014520945011386177,-1,2023
0.00048481633803268496,0.023251031154184677,-1,2023
-0.002388357808025061,0.02316467373983694,-1,2023
-0.015648647634740432,0.014848647634740472,-1,2023
-0.021813298442108348,0.02765711838528352,1,2023
-0.015882137056027493,0.027067081180612178,1,2023
-0.005006798885525998,0.019317196380049133,-1,2023
0.02143451253596114,0.017745012786541163,-1,2023
-0.025354710249032384,0.025566136270925247,-1,2023
-0.020166569732802134,0.02364652803484305,-1,2023
-0.01753285178865846,0.023546270164586373,-1,2023
-0.01969892908310325,0.01889892908310331,1,2023
-0.022910160880264915,0.022110160880265017,1,2023
-0.02256914824251379,0.02176914824251374,1,2023
0.06136527025262148,0.015122329159869654,1,2023
-0.00559936743275848,0.02194591226952784,1,2023
-0.01832994502962245,0.017529945029622407,1,2023
-0.019118919654658426,0.018318919654658462,1,2023
-0.01881106275895229,0.01801106275895221,1,2023
0.11304208123222943,0.01889375814209073,1,2023
-0.018224712766311033,0.017424712766310947,-1,2023
0.03083982275988181,0.026186173230856348,1,2023
0.0036676516220386867,0.032741917334094865,1,2023
-0.006041257791220935,0.024302200142450443,1,2023
0.07124245886384546,0.024556292559955083,1,2023
-0.019500263124222938,0.025411108404760272,1,2023
-0.023132911081869673,0.022332911081869782,1,2023
0.03466888255883852,0.028044437490161236,1,2023
0.024098148542382628,0.030101205268230583,1,2023
0.16437956896004055,0.021308717476665184,1,2023
0.0028713730622716475,0.030891682302242388,1,2023
