et,xt,side,entry,exit,ret,reason,year,vr,mfe,giveback
2023-05-02 00:00:00+00:00,2023-05-05 12:30:00+00:00,1,28054.5,28664.469999999998,0.020942322978488213,trail/sl,2023,,0.05334260100875082,0.03160027803026261
2023-05-05 16:00:00+00:00,2023-05-10 12:45:00+00:00,-1,29347.5,28067.5,0.04281529942925291,trail/sl,2023,,0.07147116449442031,0.0278558650651674
2023-05-10 16:00:00+00:00,2023-05-10 17:57:00+00:00,-1,28141.2,27466.597999999998,0.023172040993276855,trail/sl,2023,,0.0524000397992979,0.028427998806021048
2023-05-11 00:00:00+00:00,2023-05-11 14:04:00+00:00,1,27583.0,27031.34,-0.020799999999999992,trail/sl,2023,,0.001703948083964761,0.021703948083964756
2023-05-12 08:00:00+00:00,2023-05-12 19:26:00+00:00,1,26294.0,25801.418,-0.019533627443523178,trail/sl,2023,,0.0116148170685328,0.03034844451205598
2023-05-13 00:00:00+00:00,2023-05-17 07:45:00+00:00,1,26785.2,26820.5,0.0005178919701924672,trail/sl,2023,0.8432354564431134,0.03228648656720873,0.03096859459701626
2023-05-19 00:00:00+00:00,2023-05-24 03:36:00+00:00,1,26809.4,26701.675,-0.004818180190530269,trail/sl,2023,0.7951768387467872,0.02678538124687604,0.03080356143740631
2023-05-25 00:00:00+00:00,2023-05-29 08:01:00+00:00,1,26313.9,27906.9,0.0597383466532897,trail/sl,2023,1.0000443210317518,0.0808736067249628,0.0203352600716731
2023-05-31 00:00:00+00:00,2023-05-31 04:47:00+00:00,1,27680.0,27407.625,-0.010640137283236994,trail/sl,2023,1.1011212581427965,0.0052384393063583815,0.015078576589595376
2023-05-31 16:00:00+00:00,2023-06-01 02:49:00+00:00,1,26900.0,26937.681500000002,0.0006007992565056659,trail/sl,2023,1.0319530256478957,0.016650557620817897,0.015249758364312232
2023-06-01 16:00:00+00:00,2023-06-02 02:18:00+00:00,-1,26884.2,26874.763999999996,-0.0004490131750245442,trail/sl,2023,1.1667793198892988,0.015124124950714626,0.01477313812573917
2023-06-02 16:00:00+00:00,2023-06-04 22:16:00+00:00,-1,27081.3,27303.499999999996,-0.009004923692732517,trail/sl,2023,1.1298599756953174,0.006694656460361921,0.014899580153094437
2023-06-05 00:00:00+00:00,2023-06-05 09:03:00+00:00,1,27102.4,26718.125,-0.014978633626542353,trail/sl,2023,1.1088300452814768,0.0008338744908199475,0.0150125081173623
2023-06-06 00:00:00+00:00,2023-06-06 12:11:00+00:00,1,25714.6,25422.751500000002,-0.012149525172469975,trail/sl,2023,1.2554340984663281,0.0037060658147512666,0.015055590987221241
2023-06-07 08:00:00+00:00,2023-06-07 11:22:00+00:00,-1,26786.8,26725.761999999995,0.0014786596383294798,trail/sl,2023,1.0137076659116577,0.017023309988501798,0.014744650350172318
2023-06-08 00:00:00+00:00,2023-06-08 16:49:00+00:00,1,26325.9,26398.0,0.0019387477731055173,trail/sl,2023,1.033412037431536,0.018008880987924383,0.015270133214818866
2023-06-09 08:00:00+00:00,2023-06-10 04:23:00+00:00,1,26482.7,25971.75,-0.020093727603303316,trail/sl,2023,0.9270299757163754,0.011037394223398644,0.03033112182670196
2023-06-10 16:00:00+00:00,2023-06-10 18:24:00+00:00,1,25619.9,25359.68,-0.010956948309712417,trail/sl,2023,0.8675433130378947,0.020456754319884096,0.030613702629596513
2023-06-11 00:00:00+00:00,2023-06-14 20:05:00+00:00,1,25826.6,25637.585,-0.008118617239590167,trail/sl,2023,0.753899750450793,0.02338286882516481,0.030701486064754976
2023-06-15 00:00:00+00:00,2023-06-21 16:50:00+00:00,1,25115.9,30359.67,0.20798288255646807,trail/sl,2023,1.020679563969746,0.2271907437121504,0.018407861155682326
2023-06-22 00:00:00+00:00,2023-06-22 02:34:00+00:00,-1,29988.5,30328.199999999997,-0.012127675608983347,trail/sl,2023,1.4842417731921727,0.00361805358720843,0.014945729196191776
2023-06-22 08:00:00+00:00,2023-06-22 13:23:00+00:00,-1,30094.5,30246.999999999996,-0.005867371114323095,trail/sl,2023,1.6040009118014018,0.009785841266676636,0.01485321238099973
2023-06-22 16:00:00+00:00,2023-06-23 02:11:00+00:00,1,29837.3,29806.1,-0.0018456710225121151,trail/sl,2023,1.6728221686708766,0.01416683144922633,0.015212502471738444
