et,xt,side,entry,exit,R,reason,year,atr_pct,oi_z
2023-06-20 04:00:00,2023-06-20 11:00:00,-1,26788.92416,27784.0,-0.03794952673859965,trend_flip,2023,0.01573526687259399,2.157567864074487
2023-06-26 07:00:00,2023-06-26 14:00:00,1,30597.883920000004,30291.905080800003,-0.01090000000000003,fibstop,2023,0.017970451890539283,0.6150685591449354
2023-08-07 07:00:00,2023-08-08 04:00:00,-1,29032.356580000003,29322.680145800005,-0.010523310000000043,fibstop,2023,0.007157830975051088,-0.3871588765217379
2023-08-14 21:00:00,2023-08-21 07:00:00,-1,29405.03098,26021.8,0.11514434505387103,fibstop,2023,0.0071398785767098644,-1.6550774022224612
2023-09-04 00:00:00,2023-09-07 05:00:00,-1,25976.502079999995,25803.6,0.005963525553878215,fibstop,2023,0.012878130920032756,-1.969685418335352
2023-09-18 07:00:00,2023-09-18 14:00:00,1,27232.78242,26960.454595799998,-0.010805790000000053,fibstop,2023,0.012599286055402208,0.2664707575451547
2023-09-25 07:00:00,2023-09-27 22:00:00,1,26130.217940000002,26269.0,0.004218631162776673,fibstop,2023,0.010081552773246436,0.193433714458793
2023-10-11 22:00:00,2023-10-12 12:00:00,1,26752.805000000004,26648.7,-0.004817977652849978,trend_flip,2023,0.012595838761393821,1.0866171790719947
2023-10-13 23:00:00,2023-10-15 17:00:00,-1,26891.71652,27160.633685200002,-0.01070221000000002,fibstop,2023,0.011616475177540631,-1.0823787277582608
2023-10-19 05:00:00,2023-10-27 02:00:00,1,28436.0,33849.0,0.18836641357152908,fibstop,2023,0.0174574488205709,-0.8565614532437152
2023-10-27 23:00:00,2023-10-31 04:00:00,1,34039.45358,34219.9,0.003501096258079252,fibstop,2023,0.021827944889396576,-1.1263761972942563
2023-12-07 12:00:00,2023-12-10 10:00:00,1,43277.03486000001,43625.0,0.005605490835114987,fibstop,2023,0.020594454868161593,-0.6727258995197539
2024-01-17 01:00:00,2024-01-24 22:00:00,-1,42699.2466,39788.1,0.06967793829645705,fibstop,2024,0.023154735525212692,-0.8273698551537035
2024-03-03 10:00:00,2024-03-05 18:00:00,1,62814.761300000006,62186.613687000005,-0.015101990000000022,fibstop,2024,0.02208779395255956,2.214364632229077
2024-03-11 07:00:00,2024-03-12 11:00:00,1,71496.70587999998,70781.73882119998,-0.01314594000000002,fibstop,2024,0.026482025716351266,-0.7482790876466255
2024-03-12 18:00:00,2024-03-14 12:00:00,1,71336.162,70622.80038,-0.01286191999999994,fibstop,2024,0.027486043665379926,0.0931400708486395
