month,side,pnl,liq
2023-05,롱,183.45185413154832,False
2023-05,롱,-13.189651962347853,False
2023-05,롱,9.042047899598401,False
2023-05,롱,-145.70274748504926,False
2023-05,숏,27.536842455954684,False
2023-05,숏,-36.991259727037686,False
2023-05,숏,33.416853901153445,False
2023-05,숏,-10.206809183559017,False
2023-05,숏,-20.61074224978438,False
2023-05,숏,-9.961864746732317,False
2023-05,숏,-15.182374684434762,False
2023-05,숏,14.20261755177853,False
2023-05,숏,-5.771725952947236,False
2023-05,숏,-12.935064233763114,False
2023-05,숏,-22.625202200692,False
2023-05,숏,9.57843900714397,False
2023-05,숏,14.02215420797802,False
2023-05,숏,24.719574029275464,False
2023-05,숏,-71.76917838916415,False
2023-05,롱,29.497956094448455,False
2023-05,롱,-10.425801485038392,False
2023-05,롱,-122.24911247975615,False
2023-06,롱,25.558251856311472,False
2023-06,롱,25.468026105440003,False
2023-06,숏,-16.08441690552536,False
2023-06,숏,13.900735338105733,False
2023-06,숏,-19.879119102230106,False
2023-06,숏,-0.5737842542566796,False
2023-06,숏,-35.250738587121305,False
2023-06,숏,-6.26031599711132,False
2023-06,숏,17.86951364143897,False
2023-06,숏,10.25477185910131,False
2023-06,숏,-67.46860183513127,False
2023-06,롱,5.456859800407983,False
2023-06,롱,246.9879292768328,False
2023-06,롱,-84.7459860841791,False
2023-06,롱,61.57708921059748,False
2023-06,롱,-18.19231516405307,False
2023-06,롱,27.065784688871645,False
2023-06,롱,29.887104623185223,False
2023-07,롱,27.17180108111461,False
2023-07,롱,-104.38053070613205,False
2023-07,롱,24.591856323193497,False
2023-07,롱,6.607742403599332,False
2023-07,롱,-10.929358390842026,False
2023-07,롱,-79.59360953866235,False
2023-07,숏,18.597317811621906,False
2023-07,숏,16.661021483525474,False
2023-07,숏,1.2552764981064684,False
2023-07,숏,-2.3039053716092894,False
2023-07,숏,64.0065309570382,False
2023-07,숏,-2.877456495501974,False
2023-07,숏,-0.16747679872605659,False
2023-07,숏,0.7060336498889228,False
2023-07,숏,-25.989256339047643,False
2023-07,숏,-8.843972877089982,False
2023-08,숏,0.6839284421748744,False
2023-08,숏,-22.21962341041217,False
2023-08,숏,-2.5660530738532543,False
2023-08,숏,2.2962333919294906,False
