et,xt,side,entry,exit,R,mae,fund,reason,x_int,year,y
2023-05-05 16:00:00,2023-05-06 20:00:00,1,29552.478619999998,28690.864167598414,-0.030055403967316485,-0.041264850765333136,0.00030000000000000014,fibstop,28690.864167598414,2023,2023
2023-05-10 15:00:00,2023-05-12 16:00:00,-1,27528.281799999997,26480.83226351567,0.03770112238631805,-0.02767038660582162,-0.00025118000000000015,fibstop,26480.83226351567,2023,2023
2023-05-13 20:00:00,2023-05-15 00:00:00,-1,26837.2347,26993.69635523275,-0.0063471114974365354,-0.013517238420991232,-8.291000000000006e-05,fibstop,26993.69635523275,2023,2023
2023-05-15 21:00:00,2023-05-17 15:00:00,-1,27174.5306,27149.093325082413,0.000666530443755354,-0.007377106267292866,-0.00033045999999999965,fibstop,27149.093325082413,2023,2023
2023-05-17 22:00:00,2023-05-18 19:00:00,-1,27320.791500000003,26972.7719123733,0.012421688861160282,-0.005926200930159645,-0.0002834199999999995,fibstop,26972.7719123733,2023,2023
2023-05-26 02:00:00,2023-05-27 06:00:00,-1,26484.9436,26739.49748397824,-0.009994447738483767,-0.016615342159913126,-0.0002168199999999995,fibstop,26739.49748397824,2023,2023
2023-06-12 00:00:00,2023-06-14 08:00:00,-1,25858.5306,25992.179741842254,-0.005423213951967543,-0.02211917640826822,-0.00034526,fibstop,25992.179741842254,2023,2023
2023-06-20 04:00:00,2023-06-20 11:00:00,-1,26788.92416,27784.0,-0.03774952673859965,-0.008782578896964635,4.479999999999415e-06,flip,27784.0,2023,2023
2023-06-26 07:00:00,2023-06-27 18:00:00,1,30597.883920000004,30504.760483424005,-0.004143460025519278,-0.0231317930955797,0.000499999999999997,fibstop,30504.760483424005,2023,2023
2023-06-28 22:00:00,2023-07-02 10:00:00,1,30173.49934,30480.773174301718,0.008524826408367377,-0.022320889347665518,0.0010587399999999938,fibstop,30480.773174301718,2023,2023
2023-07-07 02:00:00,2023-07-09 17:00:00,1,29983.6928,30230.043526273414,0.00731297695960615,-0.0026445308297715505,0.00030318000000000185,fibstop,30230.043526273414,2023,2023
2023-07-10 07:00:00,2023-07-11 18:00:00,1,30179.87076,30390.463818904936,0.006097191104464905,-0.007066655841438171,0.0002807399999999998,fibstop,30390.463818904936,2023,2023
2023-07-26 08:00:00,2023-07-27 05:00:00,-1,29272.38724,29552.122237858122,-0.009967235529037525,-0.01360028332284388,-0.00018904000000000143,fibstop,29552.122237858122,2023,2023
2023-08-07 07:00:00,2023-08-08 11:00:00,-1,29032.356580000003,29289.630452228448,-0.009093575528727397,-0.012594341730146822,-0.00036804999999999824,fibstop,29289.630452228448,2023,2023
2023-08-09 01:00:00,2023-08-10 05:00:00,-1,29853.990380000003,29581.609236716427,0.008807816748653708,-0.009905195795805632,-0.0002840399999999993,fibstop,29581.609236716427,2023,2023
2023-08-14 21:00:00,2023-08-19 20:00:00,-1,29405.03098,26153.990586958975,0.11095306586536223,-0.0029610245967507903,-0.0009923799999999906,fibstop,26153.990586958975,2023,2023
2023-08-21 00:00:00,2023-08-22 04:00:00,-1,26071.897599999997,26069.306915982383,-0.0005117430855789333,-0.00798186626814626,1.1109999999998205e-05,fibstop,26069.306915982383,2023,2023
2023-08-23 22:00:00,2023-08-25 16:00:00,-1,26484.964399999997,26032.190433804844,0.016614959714755472,-0.0031465249015023094,-0.00011945000000000011,fibstop,26032.190433804844,2023,2023
2023-09-04 00:00:00,2023-09-05 18:00:00,-1,25976.502079999995,25777.757055825048,0.0071089940646723825,-0.004727269269042576,-5.803999999999879e-05,fibstop,25777.757055825048,2023,2023
2023-09-08 02:00:00,2023-09-09 13:00:00,-1,26217.575,25862.696367304707,0.012869776074276288,-0.006134243918440235,6.612999999999758e-05,fibstop,25862.696367304707,2023,2023
2023-09-14 05:00:00,2023-09-15 16:00:00,-1,26479.971779999996,26764.3,-0.011309091986848367,-0.015106821990729623,-2.8389999999999666e-05,flip,26764.3,2023,2023
2023-09-18 07:00:00,2023-09-19 18:00:00,1,27232.78242,27013.33037197759,-0.008583827753616593,-0.022828457643881143,-7.455000000000309e-05,fibstop,27013.33037197759,2023,2023
2023-09-20 22:00:00,2023-09-22 16:00:00,1,27056.944,26587.404928622193,-0.01810184630435895,-0.025754719379986187,0.00014811000000000338,fibstop,26587.404928622193,2023,2023
2023-09-25 07:00:00,2023-09-26 18:00:00,1,26130.217940000002,26148.412422998954,-4.227953129630935e-05,-0.0058636303896056315,0.00013857999999999926,fibstop,26148.412422998954,2023,2023
2023-09-27 15:00:00,2023-09-29 16:00:00,1,26269.0,26832.62047654236,0.020951226390131365,-0.0064334386539266816,-9.549999999999836e-05,fibstop,26832.62047654236,2023,2023
2023-10-06 16:00:00,2023-10-08 03:00:00,1,27928.052399999997,27913.838619589358,-0.00118264277220128,-0.005551851513999482,7.369999999999599e-05,fibstop,27913.838619589358,2023,2023
2023-10-11 22:00:00,2023-10-12 12:00:00,1,26752.805000000004,26648.7,-0.004617977652849979,-0.0038427746174654926,0.00012660999999999922,flip,26648.7,2023,2023
2023-10-13 23:00:00,2023-10-14 20:00:00,-1,26891.71652,26889.835640208483,-0.00048233728027364696,-0.0035209161873166915,-4.7719999999997625e-05,fibstop,26889.835640208483,2023,2023
2023-10-19 05:00:00,2023-10-22 17:00:00,1,28436.0,29754.566265979145,0.04576361126667411,-0.007363904909269991,5.999999999995592e-06,fibstop,29754.566265979145,2023,2023
2023-10-26 19:00:00,2023-10-28 20:00:00,1,33807.71358,34073.85807082357,0.006672300804778781,-0.013538732186573477,0.0005999999999999964,fibstop,34073.85807082357,2023,2023
2023-11-12 03:00:00,2023-11-13 07:00:00,1,37033.39014,36982.42221129579,-0.0028080195910781744,-0.0073822606833046246,0.0008317499999999992,fibstop,36982.42221129579,2023,2023
2023-11-14 04:00:00,2023-11-14 18:00:00,1,36478.714640000006,35095.7514362856,-0.038819971339216525,-0.02230107743730546,0.00030846000000000345,fibstop,35095.7514362856,2023,2023
2023-11-15 01:00:00,2023-11-17 09:00:00,1,35597.4,35998.98323104118,0.009909121749880003,-0.005882452089197567,0.0007721300000000098,fibstop,35998.98323104118,2023,2023
2023-12-07 12:00:00,2023-12-09 13:00:00,1,43277.03486000001,43901.1032207563,0.012768382361397523,-0.007217103967737264,0.0010519299999999995,fibstop,43901.1032207563,2023,2023
2023-12-10 03:00:00,2023-12-11 00:00:00,1,43589.105579999996,41803.5285777833,-0.042154196684824646,-0.0008397873622988855,0.000590360000000005,fibstop,41803.5285777833,2023,2023
