month,ts,rev
2023-05,0.0,0.02096898019346649
2023-06,-0.03683172701192583,0.23362941575784446
2023-07,0.0,-0.04574829700679495
2023-08,0.00048481633803265645,0.200714517637697
2023-09,0.035248149555820785,-0.012665125918905784
2023-10,0.15073446830573123,0.06253058482875273
2023-11,0.0,0.09482830483414806
2023-12,0.002434572575985783,-0.10246281968761228
2024-01,0.020418035819502744,0.04607693412275293
2024-02,0.0,0.1652280633367853
2024-03,-0.0011393814007426561,-0.12375916851041291
2024-04,-0.0008968046426918175,-0.03372284664763214
2024-05,0.06863054551622083,0.15128876226450205
2024-06,-0.006745719983596077,-0.1039014729269171
2024-07,0.035340452038640224,0.04116942339894325
2024-08,-0.00012957912334088384,0.02734359580891854
2024-09,-0.009226278358541617,0.002227263309093841
2024-10,-0.008857955658311933,0.12883949545976447
2024-11,-0.020291586109823845,-0.031247111545186446
2024-12,-0.01531531992232893,0.17468815431481977
2025-01,0.015365635508853837,0.038397540865763746
2025-02,0.0,-0.072217794118695
2025-03,0.04302600356188524,-0.04907515594164713
2025-04,-0.004378244970422274,0.13653418637052317
2025-05,0.0,0.03384722584239386
2025-06,0.0,-0.006172603693511913
2025-07,0.0,-0.027792637141599186
2025-08,0.0,0.0027808127895323498
2025-09,-0.001220894520986393,0.05499662658286786
2025-10,-0.022488636280964314,-0.022362350132646647
2025-11,0.06477313195727707,-0.08591340694517025
2025-12,0.0,-0.07071298830825135
2026-01,-0.010000814834013716,-0.05419582629111608
2026-02,0.0,0.022259208640754036
2026-03,0.011862026875344434,0.15401753284988762
2026-04,0.0,0.02000228098036505
