month,side,lim_cnt,mkt_cnt,lim_fee,mkt_fee,slip,fund_d,pnl
2023-05,롱,1,1,1.61023264,4.0255816,0.0,1.2641131340320002,183.45185413154832
2023-05,롱,1,1,1.6397726563391137,4.099431640847785,27.728871035511766,0.0,-13.189651962347853
2023-05,롱,1,1,1.6376488155291125,4.094122038822781,152.0362557508072,0.353814026595064,9.042047899598401
2023-05,롱,2,0,3.2782095911903,0.0,0.0,0.0,-145.70274748504926
2023-05,숏,1,1,1.6156432636213398,4.03910815905335,47.72024773617442,-0.0,27.536842455954684
2023-05,숏,1,1,1.6200773358738514,4.050193339684628,77.75179908895963,-0.38760350260781806,-36.991259727037686
2023-05,숏,1,1,1.6141208824931321,4.0353022062328305,110.54149393486607,-0.0,33.416853901153445
2023-05,숏,1,1,1.619501773380907,4.048754433452268,182.17835280244967,-0.43605085248280945,-10.206809183559017
2023-05,숏,1,1,1.6178582396511452,4.044645599127863,194.99814406872528,-0.13873134405008622,-20.61074224978438
2023-05,숏,1,1,1.614539430660622,4.036348576651555,52.89105648268233,-0.28553129831233154,-9.961864746732317
2023-05,숏,1,1,1.6129353386835767,4.032338346708942,112.59894006488716,0.12709930468826647,-15.182374684434762
2023-05,숏,1,1,1.610490623156618,4.026226557891545,70.27972809951272,-0.6973424398268142,14.20261755177853
2023-05,숏,1,1,1.6127775749921491,4.0319439374803725,136.50953052664207,-0.8063887874960732,-5.771725952947236
2023-05,숏,1,1,1.6118481928402921,4.02962048210073,44.72070169770874,-0.0,-12.935064233763114
2023-05,숏,1,1,1.609765346577322,4.024413366443305,97.66356781707746,-0.38441196476266437,-22.625202200692
2023-05,숏,1,1,1.6061221626703064,4.015305406675766,130.16935317790802,-0.8030610813351517,9.57843900714397
2023-05,숏,1,1,1.6076645141832617,4.019161285458154,90.13785223047319,-0.8038322570916294,14.02215420797802
2023-05,숏,1,1,1.6099224072221416,4.0248060180553535,134.7064104363204,-0.3986972841485624,24.719574029275464
2023-05,숏,2,0,3.2278056674340503,0.0,0.0,-0.8069514168585147,-71.76917838916415
2023-05,롱,1,1,1.6023463263582036,4.005865815895509,87.73089485615942,0.4956858360589129,29.497956094448455
2023-05,롱,1,1,1.6070961835298607,4.017740458824651,64.38842355723098,0.18835167270969622,-10.425801485038392
2023-05,롱,1,1,1.6054173869449238,4.013543467362309,247.818746682195,0.1682477421518314,-122.24911247975615
2023-06,롱,1,1,1.5857324358323301,3.9643310895808255,2.5353614270816687,0.7346698375211155,25.558251856311472
2023-06,롱,1,1,1.5898479089683675,3.974619772420919,18.584260288140804,0.7949239544841858,25.468026105440003
2023-06,숏,1,1,1.5939488536595028,3.9848721341487567,269.29061265197186,-0.7969744268297534,-16.08441690552536
2023-06,숏,1,1,1.5913588883498382,3.9783972208745957,42.47482867477101,-0.5241936178224361,13.900735338105733
2023-06,숏,1,1,1.5935972301259802,3.98399307531495,40.85024052488163,-0.6933741548278152,-19.879119102230106
2023-06,숏,1,1,1.5903962294826943,3.975990573706736,31.09870818136936,-0.24372822216822387,-0.5737842542566796
2023-06,숏,1,1,1.5903038368692421,3.975759592173105,106.8725965849435,-0.4914038855925948,-35.250738587121305
2023-06,숏,1,1,1.584627647883533,3.961569119708832,36.09619008253408,-0.19316611027700314,-6.26031599711132
2023-06,숏,1,1,1.5836195913680067,3.9590489784200167,34.52771503683178,0.25852589829083017,17.86951364143897
2023-06,숏,1,1,1.5864969987806437,3.966242496951609,118.26906916985313,-0.061952707802380866,10.25477185910131
2023-06,숏,2,0,3.1762965112339434,0.0,0.0,-0.7835923493214162,-67.46860183513127
2023-06,롱,1,1,1.5772842411319623,3.943210602829906,43.68411447183328,0.5044943645260581,5.456859800407983
2023-06,롱,1,1,1.5781629225082145,3.9454073062705364,0.0,1.2858082411135696,246.9879292768328
2023-06,롱,1,1,1.6179337250489714,4.044834312622428,165.9504781228461,0.8089668625244807,-84.7459860841791
2023-06,롱,1,1,1.6042876497587981,4.010719124396995,80.0517079285095,0.8021438248793942,61.57708921059748
2023-06,롱,1,1,1.6142029936511078,4.035507484127769,110.24093120303517,0.807101496825549,-18.19231516405307
2023-06,롱,1,1,1.6112736076836751,4.028184019209188,38.00498145245966,0.8056368038418327,27.065784688871645
2023-06,롱,1,1,1.6156318286769986,4.039079571692496,111.98277613669858,0.5310581820861285,29.887104623185223
2023-07,롱,1,1,1.6204443478149333,4.051110869537333,66.19252803098973,0.8102221739074618,27.17180108111461
2023-07,롱,1,1,1.624819639913773,4.062049099784433,298.3770533090333,0.056706205432992145,-104.38053070613205
2023-07,롱,1,1,1.6080119461614195,4.020029865403549,197.90502119974389,0.3393709212373745,24.591856323193497
2023-07,롱,1,1,1.6119718071343994,4.029929517835998,237.28669555141323,-0.589417491278688,6.607742403599332
2023-07,롱,1,1,1.613035807383898,4.032589518459745,25.318034150373617,0.5063319399378066,-10.929358390842026
2023-07,롱,1,1,1.6112759264223788,4.028189816055947,108.55175111279348,0.5044099287665208,-79.59360953866235
2023-07,숏,1,1,1.5984595036209217,3.9961487590523044,71.27845297176765,-0.0,18.597317811621906
2023-07,숏,1,1,1.6014541044365944,4.003635261091486,38.25868994020505,-0.4454444591490325,16.661021483525474
2023-07,숏,1,1,1.604136916497446,4.010342291243615,51.63690865548291,-0.17605402658559266,1.2552764981064684
2023-07,숏,1,1,1.6043390452163935,4.010847613040983,38.60667351571551,-0.751793276588404,-2.3039053716092894
2023-07,숏,1,1,1.6039680628535098,4.009920157133775,0.0,-0.80198403142675,64.0065309570382
2023-07,숏,1,1,1.6142746033855293,4.035686508463823,68.00899189567063,-0.7628254638298241,-2.877456495501974
