scenario,ic,ic_p,direction,wf_stability,wf_oos_sharpe,sprt,sprt_nstop,cpcv_p25,cpcv_worst,cpcv_fracneg,net_sharpe,info_sharpe,dsr,psr0,possibility,edge_confirmed,deployable
Funding_level (2020-26),-0.019980572800952584,0.09244592184872091,-1.0,0.875,1.518565706929805,미결(엣지 약),7093,0.5115214782200243,-0.2165231200450173,0.13333333333333333,0.6370820853081958,0.8850493625202851,0.7145756434339785,0.9467613250765122,True,False,False
Funding_slope (2020-26),-0.0014218347323582434,0.9047070455460591,-1.0,0.25,-0.1757315968463077,미결(엣지 약),7092,-1.2731711955971128,-1.695617329035154,1.0,-0.8772557309762717,-0.06375428122658776,0.0004891592429326563,0.012521852498658337,False,False,False
OI_zscore (2023-26),-0.03701809283591955,0.033816337577099946,-1.0,0.75,1.219014280517292,미결(엣지 약),3287,-0.9163776265678387,-2.616218313636251,0.4666666666666667,0.02360744892451768,0.9044401191112477,0.15599158522404855,0.5163106086128002,True,False,False
OI_x_Funding combo (2023-26),-0.016393815124857568,0.3474218385837393,-1.0,0.625,-0.11752209349415861,미결(엣지 약),3287,-1.2523804792595687,-2.7137818844918864,0.8666666666666667,-0.6469204582340977,0.01421134899153341,0.014864148166007538,0.13109683295080243,True,False,False
