sig,ic8,p8,n8,ic24,p24,ic1y,p1y
agg_all,-0.00475752090155977,0.7830531619684648,3352,0.004835720027353449,0.779642680124124,-0.028795964761363747,0.34088111732370363
agg_alt,-0.0055578753015788785,0.7477074285332195,3352,0.00774035464524005,0.6542651161933577,-0.028958867869992723,0.3381555512054436
agg_slope,-0.019163665841631435,0.267416877329049,3351,-0.01099317409000123,0.5248007336435365,-0.03404124296729794,0.2601629717577462
breadth_pos,-0.004293813395138271,0.8037436884491774,3352,0.0008164109383660127,0.9623254764819362,-0.022221968881309655,0.46238253245933236
breadth_hot,-0.007551359759332158,0.6620822235126813,3352,0.01202937862973959,0.48641883054081747,-0.031711540455092196,0.294222023988491
btc_rel,-0.005242544686783688,0.7615746425050112,3352,-0.02462416558592511,0.1541829950710083,0.005925380368350388,0.8446548828522142
