sig,ic,wf,net_sharpe,cpcv_p25,dsr,possibility,edge,deployable
mom_24h (현 최강 베이스),-0.047589635440646184,0.875,-0.12725859360344985,-0.3338232030030836,0.06402745080690367,True,False,False
oi_z (파생 단독),-0.03701809283591955,0.75,0.02360744892451768,-0.9163776265678387,0.10400541218347503,True,False,False
fng (센티먼트 단독),0.005391477827711631,0.625,0.15511229373194657,-0.5397545153025778,0.1511352853684178,True,False,False
◆fng×mom (직교: 센티+가격),-0.026617066285884637,0.625,-0.18695704826587164,-0.7054752810040779,0.05216558897734827,True,False,False
◆fng×OI (직교: 센티+파생),0.0315093474473335,0.5,0.6241792325477141,0.07348223125496287,0.41322886745360804,False,False,False
◆mom×OI×fng (3도메인),-0.0229681030957612,0.625,-0.44856436483814793,-0.8248934598836744,0.018913689268856407,True,False,False
