sig,ic,wf,net_sharpe,cpcv_p25,dsr,info_sharpe,possibility,edge,deployable
mom_24h (단독 베이스),-0.047589635440646184,0.875,-0.12725859360344985,-0.3338232030030836,0.053860717775104275,0.4017855549496365,True,False,False
oi_z (단독),-0.03701809283591955,0.75,0.02360744892451768,-0.9163776265678387,0.08920352430476908,0.9044401191112477,True,False,False
fund_slope (단독),0.015272707887699764,0.5,-0.7258595684308461,-1.224454709966128,0.004158792802605901,0.4543872432218178,False,False,False
◆ens mom+oi,0.05785906246997362,1.0,0.5501592609513148,-0.2711079326699961,0.332689185834586,1.2527358870972298,True,False,False
◆ens mom+fundslope,0.045631507393466476,0.75,-0.3505808840257502,-0.7406679669251657,0.022841977722214395,0.6020598754963152,True,False,False
◆ens oi+fundslope,0.037171575949969046,0.625,-0.050123632338043796,-0.4167565515553212,0.07034747374659328,1.013214596463549,True,False,False
◆◆ens all3 (직교 앙상블),0.05550911731524497,1.0,0.08250296585411523,-0.2877629348952825,0.10689021854319042,0.9512821071026062,True,False,False
