sig,ic_solo,corr_base,inc_ic,verdict
mom_8h,-0.015199190798960822,0.49519060242798746,0.005817388786294879,도토리(중복)
mom_24h,-0.047618750833606935,1.0,-0.047618750833606935,도토리(중복)
mom_72h,-0.020516916403437287,0.5177254459231142,-0.000507915695315315,도토리(중복)
oi_z,-0.03772380588880452,0.16359456976811515,-0.030392193061403932,직교기여
d_oi,0.0077820049870235735,0.024865996786817363,0.008840714349537015,약함
fund,-0.002125362621688518,0.04028919116799485,0.004101575073242657,약함
fund_slope,0.01539764979348607,0.041228597649361494,0.02080569768901759,직교기여
cvd_z,-0.033377768263362306,0.4392860508891127,-0.01113272437976724,도토리(중복)
fng,0.005414635080034562,0.13311857272716368,0.012058678322071564,약함
