et,xt,et_fill,xt_fill,side,entry,exit,R,mae,fund,reason,x_int,year,tp,fills,atr60,slip_bp
2025-09-21 04:00:00,2025-09-21 16:00:00,2025-09-21 04:00:00,2025-09-21 16:05:00,1,115753.16671999998,115440.152,-0.003367206861273112,-0.0041136388186406875,6.305000000000893e-05,fibstop,115440.152,2025,False,,0.00011071289109721753,0.0
2025-09-22 08:00:00,2025-09-22 16:00:00,2025-09-22 08:00:00,2025-09-22 16:07:00,1,112679.15400000002,112676.05774122395,0.0010395133835650215,-0.004971230082185601,6.580999999999948e-05,fibstop,112676.05774122395,2025,True,,0.0005448468213982609,0.0
2025-09-23 16:00:00,2025-09-24 00:00:00,2025-09-23 16:00:00,2025-09-24 00:14:00,-1,111666.18118,111990.42524407485,-0.0010760897820223676,-0.011298128105288567,-0.0,fibstop,111990.42524407485,2025,True,,0.00038420375294222415,0.0
2025-09-24 20:00:00,2025-09-25 04:00:00,2025-09-24 20:00:00,2025-09-25 04:07:00,-1,113341.04752000001,112566.36269165298,0.0024970872118544,-0.002196490022346607,2.2000000000077513e-06,fibstop,112566.36269165298,2025,True,,0.0003086791337191513,0.0
2025-09-25 20:00:00,2025-09-26 04:00:00,2025-09-25 20:00:00,2025-09-26 04:30:00,1,108778.04202,109344.45014825097,0.00660010253864845,-0.0007652465373911185,3.142999999999896e-05,fibstop,109344.45014825097,2025,True,,0.0004267658684881867,0.0
2025-09-26 20:00:00,2025-09-27 04:00:00,2025-09-26 20:00:00,2025-09-27 04:36:00,-1,109638.0096,109691.346,-0.0010865772736625863,-0.0005654097536626124,1.0000000000287557e-07,fibstop,109691.346,2025,False,,0.0004874707175822822,0.0
2025-09-28 04:00:00,2025-09-28 16:00:00,2025-09-28 04:00:00,2025-09-28 16:02:00,-1,109503.30666,110050.82319329999,1.950038076435818e-05,-0.004696601003993862,-0.00010237000000001828,fibstop,110050.82319329999,2025,True,,0.00011475465532901708,0.0
2025-09-29 00:00:00,2025-09-29 12:00:00,2025-09-29 00:00:00,2025-09-29 12:18:00,-1,111910.9069,112178.934,0.0012874123022033526,-0.004203281994849075,-1.3039999999991947e-05,fibstop,112178.934,2025,True,,0.00048128361956989565,0.0
2025-09-30 04:00:00,2025-09-30 16:00:00,2025-09-30 04:00:00,2025-09-30 16:21:00,-1,113828.9069,113195.57,0.001548898171465898,-0.004327486869681942,-8.477000000001178e-05,fibstop,113195.57,2025,True,,0.00021769166140528454,0.0
2025-10-03 12:00:00,2025-10-03 16:00:00,2025-10-03 12:00:00,2025-10-03 18:06:00,1,122185.6094,121459.02781293103,-0.0066465397818686826,-0.019357511998462945,9.999999999998899e-05,fibstop,121459.02781293103,2025,False,,0.00026861396714635656,0.0
2025-10-03 20:00:00,2025-10-04 08:00:00,2025-10-03 20:00:00,2025-10-04 08:02:00,-1,122320.88,122318.14873647748,0.0017594463599081513,-0.003762399354877116,-0.00019999999999997797,fibstop,122318.14873647748,2025,True,,0.0004391979804102148,0.0
2025-10-04 20:00:00,2025-10-05 08:00:00,2025-10-04 20:00:00,2025-10-05 09:30:00,1,122270.6408,123659.43326016926,0.003156200995933587,-0.003739579648951996,8.647999999999989e-05,fibstop,123659.43326016926,2025,True,,0.00017242062912675105,0.0
2025-10-06 20:00:00,2025-10-07 04:00:00,2025-10-06 20:00:00,2025-10-07 04:00:00,-1,124768.92910000001,124277.8,0.0010224683857129157,-0.005859398692234119,-9.999999999998899e-05,fibstop,124277.774364507,2025,True,,0.0005046933948787453,0.00205463757582918
2025-10-07 20:00:00,2025-10-08 12:00:00,2025-10-07 20:00:00,2025-10-08 13:43:00,1,121119.1405,121642.33085027918,0.0073474062316950285,-0.0009399051176390337,0.0001254199999999872,fibstop,121642.33085027918,2025,True,,0.0005779138480377443,0.0
2025-10-08 20:00:00,2025-10-09 08:00:00,2025-10-08 20:00:00,2025-10-09 10:36:00,-1,123344.94523999999,122010.56777381731,0.004869865117422833,-0.0026474920343481896,-6.694000000001532e-05,fibstop,122010.56777381731,2025,True,,0.0004664249631760156,0.0
2025-10-09 16:00:00,2025-10-10 00:00:00,2025-10-09 16:00:00,2025-10-10 00:00:00,-1,120966.05202,121625.54964680225,-0.006051923211424683,-0.0061698961612518645,-0.0,fibstop,121625.54964680225,2025,False,,0.0004820362697733069,0.0
2025-10-11 00:00:00,2025-10-11 20:00:00,2025-10-11 00:00:00,2025-10-11 20:26:00,1,111645.07329999999,110472.02304980456,-0.011211629380494515,-0.014537795999637624,0.00010467000000000115,fibstop,110472.02304980456,2025,False,,0.0013872540866397137,0.0
